item_id,item_name,transaction_date,quantity
2,Smartphone,2023-01-03,8
5,Smartwatch,2023-01-06,8
2,Smartphone,2023-01-25,9
8,Monitor,2023-02-10,12
3,Tablet,2023-01-24,12
4,Headphones,2023-02-12,9
2,Smartphone,2023-02-08,6
9,Printer,2023-02-16,8
3,Tablet,2023-01-30,13
5,Smartwatch,2023-03-01,18
4,Headphones,2023-02-13,11
1,Laptop,2023-01-15,2
6,Keyboard,2023-01-26,9
2,Smartphone,2023-01-14,19
6,Keyboard,2023-01-14,16
7,Mouse,2023-02-26,15
3,Tablet,2023-01-17,5
4,Headphones,2023-02-17,18
9,Printer,2023-01-17,19
7,Mouse,2023-02-27,19
