transaction_id,item_id,transaction_date,quantity,price,customer_id,item_name
1,6,2023-02-09,34,245.85,9,Item_F
2,7,2023-09-04,28,408.7,8,Item_G
3,7,2023-04-22,11,487.76,14,Item_G
4,2,2023-05-09,3,204.45,3,Item_B
5,7,2023-05-18,38,456.26,15,Item_G
6,5,2023-08-04,36,467.14,21,Item_E
7,9,2023-04-09,24,324.77,18,Item_I
8,5,2023-05-02,20,152.15,18,Item_E
9,10,2023-10-06,37,114.31,16,Item_J
10,8,2023-03-31,7,172.85,15,Item_H
11,2,2023-09-23,3,327.38,16,Item_B
12,6,2023-01-14,35,9.58,8,Item_F
13,1,2023-05-30,13,305.13,26,Item_A
14,1,2023-06-21,47,420.07,17,Item_A
15,8,2023-06-11,6,196.49,14,Item_H
16,6,2023-01-31,18,360.67,6,Item_F
17,1,2023-12-25,45,128.49,4,Item_A
18,7,2023-04-16,23,308.23,18,Item_G
19,3,2023-12-08,5,99.09,1,Item_C
20,9,2023-04-03,27,337.19,26,Item_I
21,5,2023-01-18,36,419.79,29,Item_E
22,7,2023-02-28,43,213.31,28,Item_G
23,2,2023-06-13,10,428.27,16,Item_B
24,3,2023-02-24,6,465.53,19,Item_C
25,5,2023-10-12,12,355.63,14,Item_E
26,9,2023-06-03,43,276.57,10,Item_I
27,2,2023-11-06,47,195.39,4,Item_B
28,3,2023-10-06,20,200.26,20,Item_C
29,8,2023-01-03,35,497.72,3,Item_H
30,5,2023-07-02,21,137.5,30,Item_E
31,8,2023-12-23,48,349.68,1,Item_H
32,7,2023-10-04,29,332.2,30,Item_G
33,5,2023-01-16,40,118.76,7,Item_E
34,8,2023-01-28,13,378.67,26,Item_H
35,9,2023-11-06,31,216.28,4,Item_I
36,10,2023-12-08,24,266.86,8,Item_J
37,6,2023-01-13,14,464.94,4,Item_F
38,3,2023-07-18,28,92.65,19,Item_C
39,2,2023-03-14,47,177.08,29,Item_B
40,9,2023-10-29,11,92.47,26,Item_I
41,6,2023-06-06,41,79.95,20,Item_F
42,10,2023-04-07,5,352.61,23,Item_J
43,10,2023-07-01,35,223.52,24,Item_J
44,10,2023-07-30,40,353.59,14,Item_J
45,5,2023-09-08,21,84.6,9,Item_E
46,3,2023-01-14,19,220.18,11,Item_C
47,10,2023-04-16,15,444.09,28,Item_J
48,4,2023-01-09,32,356.62,29,Item_D
49,1,2023-05-07,12,31.87,28,Item_A
50,9,2023-09-18,16,341.56,24,Item_I
51,8,2023-09-22,23,199.19,22,Item_H
52,2,2023-11-18,36,368.39,8,Item_B
53,7,2023-06-03,46,419.77,26,Item_G
54,5,2023-06-01,37,41.63,2,Item_E
55,2,2023-04-19,35,167.85,28,Item_B
56,6,2023-04-15,37,112.83,12,Item_F
57,8,2023-09-23,41,19.21,3,Item_H
58,9,2023-09-16,9,7.91,12,Item_I
59,6,2023-01-09,36,350.18,7,Item_F
60,2,2023-03-16,32,2.28,22,Item_B
61,4,2023-03-15,24,487.07,5,Item_D
62,1,2023-11-11,48,300.17,15,Item_A
63,10,2023-05-15,15,488.53,18,Item_J
64,7,2023-03-08,25,104.12,4,Item_G
65,5,2023-01-10,20,10.49,5,Item_E
66,1,2023-07-14,20,331.36,24,Item_A
67,8,2023-10-01,21,390.21,27,Item_H
68,1,2023-12-27,9,70.65,23,Item_A
69,4,2023-12-27,19,368.16,30,Item_D
70,7,2023-04-02,28,113.24,25,Item_G
71,4,2023-03-08,33,384.84,3,Item_D
72,8,2023-07-26,22,201.27,5,Item_H
73,1,2023-12-02,47,373.32,26,Item_A
74,7,2023-09-17,39,463.88,18,Item_G
75,8,2023-11-19,35,213.82,17,Item_H
76,10,2023-01-29,44,165.96,19,Item_J
77,4,2023-09-20,39,1.27,26,Item_D
78,8,2023-05-25,28,96.45,9,Item_H
79,2,2023-07-20,5,31.89,28,Item_B
80,9,2023-03-21,19,340.12,13,Item_I
81,7,2023-04-09,16,192.11,1,Item_G
82,2,2023-06-05,25,432.18,15,Item_B
83,3,2023-10-22,23,306.6,13,Item_C
84,3,2023-06-19,2,65.6,17,Item_C
85,9,2023-05-18,23,253.28,28,Item_I
86,8,2023-06-15,44,385.08,1,Item_H
87,7,2023-02-24,46,362.55,2,Item_G
88,10,2023-07-25,8,157.54,26,Item_J
89,8,2023-10-15,20,179.97,14,Item_H
90,3,2023-09-22,46,429.92,9,Item_C
91,5,2023-07-07,10,485.39,18,Item_E
92,4,2023-09-24,7,144.11,10,Item_D
93,2,2023-02-03,37,136.82,17,Item_B
94,5,2023-06-07,35,371.79,4,Item_E
95,8,2023-05-24,21,365.23,19,Item_H
96,1,2023-11-17,47,160.65,2,Item_A
97,4,2023-01-04,27,84.5,10,Item_D
98,10,2023-04-19,43,381.4,25,Item_J
99,6,2023-09-21,45,382.75,8,Item_F
100,1,2023-01-20,9,494.02,16,Item_A
101,9,2023-04-22,8,75.97,1,Item_I
102,1,2023-06-08,33,164.57,16,Item_A
103,8,2023-12-25,27,439.71,28,Item_H
104,8,2023-12-19,10,287.35,6,Item_H
105,10,2023-08-31,6,452.25,22,Item_J
106,10,2023-11-26,10,406.49,27,Item_J
107,2,2023-01-17,26,82.74,14,Item_B
108,7,2023-10-30,38,281.64,21,Item_G
109,4,2023-02-21,45,158.28,20,Item_D
110,6,2023-06-06,40,235.54,4,Item_F
111,4,2023-04-23,4,311.0,17,Item_D
112,6,2023-04-28,20,295.71,4,Item_F
113,3,2023-07-24,5,54.06,24,Item_C
114,5,2023-03-06,10,497.51,29,Item_E
